% Children (age 6-14) enrolled in govt schools,% Children (age 6-14) not enrolled in school,% Children who can read Std II level text (Std VI to VIII: Learning levels),% Children who can do division (Std VI to VIII: Learning levels),District,State,% Children who can read Std II level text (Std III to V: Learning levels),% Children who can do at least subtraction (Std III to V: Learning levels),g_read_inv,g_math_inv,need_score,Optimized_Hours_Statewise,Priority_Score_Statewise
73.30,0.00,52.50,49.80,Anantapur,AP,34.80,59.50,2.87,1.68,2.28,1.00,2.28
61.80,0.10,50.30,45.20,Andhra Pradesh,AP,27.20,58.90,3.68,1.70,2.69,1.00,2.69
71.90,0.00,41.00,36.00,Chittoor,AP,24.10,44.50,4.15,2.25,3.20,5.00,15.99
46.40,0.10,51.30,42.50,East Godavari,AP,24.60,65.60,4.07,1.52,2.79,1.00,2.79
66.50,0.60,54.80,56.00,Guntur,AP,23.70,64.30,4.22,1.56,2.89,1.00,2.89
42.20,0.20,48.70,40.10,Krishna,AP,25.60,60.30,3.91,1.66,2.78,1.00,2.78
59.90,0.40,38.80,35.30,Kurnool,AP,19.90,45.10,5.03,2.22,3.62,5.00,18.11
65.40,0.10,48.00,31.60,Prakasam,AP,24.10,53.30,4.15,1.88,3.01,3.00,9.04
63.30,0.10,47.70,33.90,"Sri Potti Sriramulu
Nellore",AP,27.40,52.00,3.65,1.92,2.79,1.00,2.79
71.60,0.00,63.70,70.70,Srikakulam,AP,43.10,81.70,2.32,1.22,1.77,1.00,1.77
59.20,0.00,52.50,56.60,Visakhapatnam,AP,28.10,71.70,3.56,1.39,2.48,1.00,2.48
71.40,0.00,50.50,44.90,Vizianagaram,AP,27.30,48.70,3.66,2.05,2.86,1.00,2.86
53.90,0.00,51.90,41.60,West Godavari,AP,26.90,52.90,3.72,1.89,2.80,1.00,2.80
60.80,0.00,43.50,41.40,Y.S.R.,AP,22.80,53.50,4.39,1.87,3.13,5.00,15.64
49.90,1.10,64.80,45.50,Changlang,AR,22.70,53.20,4.41,1.88,3.14,3.00,9.43
58.50,1.80,77.30,48.80,East Siang,AR,36.50,59.50,2.74,1.68,2.21,1.00,2.21
68.80,5.60,48.50,25.20,Lohit,AR,13.30,44.40,7.52,2.25,4.89,5.00,24.43
60.20,3.80,50.40,38.30,Lower Dibang Valley,AR,30.50,64.90,3.28,1.54,2.41,1.00,2.41
53.20,2.10,73.00,44.00,Papum Pare,AR,38.30,53.20,2.61,1.88,2.25,1.00,2.25
63.70,1.70,,,Tirap,AR,24.60,50.30,4.07,1.99,3.03,1.00,3.03
70.70,0.50,61.70,10.60,Baksa,AS,31.50,45.60,3.17,2.19,2.68,1.00,2.68
70.90,0.30,56.60,36.10,Barpeta,AS,23.10,48.10,4.33,2.08,3.20,1.00,3.20
71.00,1.40,65.00,28.30,Bongaigaon,AS,27.50,43.60,3.64,2.29,2.96,1.00,2.96
67.20,0.10,59.90,25.40,Cachar,AS,37.70,42.80,2.65,2.34,2.49,1.00,2.49
66.50,0.90,57.10,26.10,Chirang,AS,19.50,39.90,5.13,2.51,3.82,5.00,19.09
60.60,2.30,59.10,17.80,Darrang,AS,24.80,26.70,4.03,3.75,3.89,5.00,19.44
76.20,0.70,66.30,27.20,Dhemaji,AS,45.50,48.20,2.20,2.07,2.14,1.00,2.14
79.40,0.80,51.70,32.00,Dhubri,AS,22.40,42.60,4.46,2.35,3.41,1.00,3.41
65.70,1.90,58.50,17.10,Dibrugarh,AS,37.90,40.50,2.64,2.47,2.55,1.00,2.55
61.20,0.70,55.50,29.20,Dima Hasao,AS,18.60,49.80,5.38,2.01,3.69,1.00,3.69
69.30,0.40,62.50,23.40,Goalpara,AS,35.90,41.80,2.79,2.39,2.59,1.00,2.59
64.20,0.40,65.40,30.00,Golaghat,AS,41.10,46.50,2.43,2.15,2.29,1.00,2.29
71.80,1.50,56.30,22.10,Hailakandi,AS,25.40,28.00,3.94,3.57,3.75,3.00,11.26
80.20,0.50,65.60,32.60,Jorhat,AS,35.50,43.40,2.82,2.30,2.56,1.00,2.56
59.10,0.60,67.80,23.40,Kamrup,AS,40.10,51.30,2.49,1.95,2.22,1.00,2.22
52.20,1.90,54.40,25.90,Karbi Anglong,AS,20.90,29.10,4.78,3.44,4.11,5.00,20.55
74.00,1.00,45.10,21.00,Kokrajhar,AS,19.20,26.70,5.21,3.75,4.48,5.00,22.38
74.60,1.30,67.40,18.50,Lakhimpur,AS,40.20,42.30,2.49,2.36,2.43,1.00,2.43
